,gllbsc_disc,project,name,symmetry,gllbsc_ind_gap,gllbsc_dir_gap,space_group,cell,numbers,unique_id,positions,calculator_parameters,calculator,id,energy,pbc,user,mtime,ctime,initial_magmoms
0,0.774472126365,organometal,CsPbBr2Cl,cubic,1.70940736951,1.709407369515,Pm-3m,"[[5.9028630961280015, 0.0, 0.0], [0.0, 5.902863096128002, 0.0], [0.0, 0.0, 5.615682022034896]]","[82, 35, 35, 17, 55]",c42d78a9c7545237cde6dda95acad33d,"[[0.0097437292932553, 0.00974372929325532, 0.0005849920794483958], [2.9622098268284334, 0.00032574234622298633, 1.9060140575287837e-05], [0.0003257423462230009, 2.962209826828434, 1.9060140575299807e-05], [-0.0005371314700124687, -0.0005371314700124869, 2.80214439533076], [2.9731128545007066, 2.973112854500707, 2.802726050886851]]",{'xc': 'GGA_X_PBE_SOL+GGA_C_PBE_SOL'},gpaw,1,-17.15043862541262,"[True, True, True]",ivca,21.66315430779547,14.594562360668524,"[0.0, 0.0, 0.0, 0.0, 0.0]"
1,0.761884933774,organometal,CsPbBr3,cubic,1.63856458829,1.6385645882940003,Pm-3m,"[[5.893202920411759, 0.0, 0.0], [0.0, 5.893202920411758, 0.0], [0.0, 0.0, 5.893202920411759]]","[82, 35, 35, 35, 55]",40e84036c338d18f8c21b277fabd7144,"[[0.014965545912976849, 0.014965545912976828, 0.014965545912976892], [2.9630056821010617, 0.00020728606492162943, 0.00020728606492158768], [0.0002072860649215775, 2.963005682101058, 0.00020728606492158858], [0.0002072860649216229, 0.0002072860649216215, 2.963005682101058], [2.9800094957667076, 2.980009495766705, 2.980009495766705]]",{'xc': 'GGA_X_PBE_SOL+GGA_C_PBE_SOL'},gpaw,2,-16.62841586601771,"[True, True, True]",ivca,21.66315430789025,14.59456236244626,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2,0.791636932942,organometal,CsPbBrCl2,cubic,1.7974683961000002,1.7974683961020004,Pm-3m,"[[5.913137618117078, 0.0, 0.0], [0.0, 5.627085014785424, 0.0], [0.0, 0.0, 5.627085014785424]]","[82, 35, 17, 17, 55]",c03b231e0e4753c116a22c4f491f2aba,"[[0.0037909185357336873, 0.000791617403683773, 0.0007916174036837678], [2.96274289612365, 5.32657077373578e-05, 5.326570773735977e-05], [-0.00020143688212570355, 2.8155083478498377, -4.663173319921514e-05], [-0.0002014368821257, -4.663173319922544e-05, 2.8155083478498377], [2.967013979196931, 2.816292422618866, 2.816292422618866]]",{'xc': 'GGA_X_PBE_SOL+GGA_C_PBE_SOL'},gpaw,3,-17.67413460495717,"[True, True, True]",ivca,21.66315430792187,14.59456236485015,"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,0.902654652358,organometal,CsPbCl3,cubic,2.2650727745,2.2650727745080004,Pm-3m,"[[5.632234749334205, 0.0, 0.0], [0.0, 5.632234749334205, 0.0], [0.0, 0.0, 5.632234749334205]]","[82, 17, 17, 17, 55]",3749d6aae143345a2a332c038d6856c6,"[[-3.108447151588465e-30, 5.212341350910583e-19, 1.5247400590881705e-19], [2.812522677781525, 1.7583915803654405e-19, -1.6544162468335557e-18], [-9.343523731104602e-20, 2.812522677781525, 4.360431116749585e-19], [3.659847174731765e-19, 4.747155720518819e-19, 2.812522677781525], [2.812522677781525, 2.812522677781525, 2.812522677781525]]",{'xc': 'GGA_X_PBE_SOL+GGA_C_PBE_SOL'},gpaw,4,-18.20271848251345,"[True, True, True]",ivca,21.663154307953445,14.594562367250806,"[0.0, 0.0, 0.0, 0.0, 0.0]"
4,0.749959997511,organometal,CsPbI2Br,cubic,1.4657547957600001,1.4657547957610002,Pm-3m,"[[6.309299124499603, 0.0, 0.0], [0.0, 6.3092991244996055, 0.0], [0.0, 0.0, 5.866158694188406]]","[82, 53, 53, 35, 55]",e0a8500d1ae8ebe856523cf4a4c46c59,"[[0.18019444371844523, 0.18019444371844665, -0.043116460854722385], [3.296647001565253, 0.033481821206967625, -0.003952051387085677], [0.03348182120696828, 3.296647001565295, -0.003952051387085855], [-0.04317718786555304, -0.043177187865552816, 2.90129966194774], [3.5829414938282245, 3.582941493828278, 2.8426376482041715]]",{'xc': 'GGA_X_PBE_SOL+GGA_C_PBE_SOL'},gpaw,5,-15.46209066229511,"[True, True, True]",ivca,21.663154307953445,14.5945623701111,"[0.0, 0.0, 0.0, 0.0, 0.0]"
5,0.694402115746,organometal,CsPbI2Cl,cubic,1.30600900079,1.3060090007860001,Pm-3m,"[[6.316508470393937, 0.0, 0.0], [0.0, 6.316508470393937, 0.0], [0.0, 0.0, 5.591417221380014]]","[82, 53, 53, 17, 55]",2bbe0b7c2b12b63f91d9c3bf76e9c9dd,"[[0.10571526393158698, 0.10571526393158716, -0.07231040895673381], [3.2428800333096697, 0.033261543827491837, -0.014425541335316134], [0.03326154382749166, 3.242880033309679, -0.014425541335316351], [-0.019796693238897406, -0.019796693238897354, 2.7407138201962087], [3.3832429840755904, 3.3832429840755953, 2.6783763836887595]]",{'xc': 'GGA_X_PBE_SOL+GGA_C_PBE_SOL'},gpaw,6,-15.960449542050773,"[True, True, True]",ivca,21.663154307985963,14.594562372520189,"[0.0, 0.0, 0.0, 0.0, 0.0]"
6,1.13065056747,organometal,CsPbI3,cubic,1.6244740319700002,1.6244740319700002,Pm-3m,"[[6.275093711872805, 0.0, 0.0], [0.0, 6.275093711872808, 0.0], [0.0, 0.0, 6.275093711872808]]","[82, 53, 53, 53, 55]",940579097756b2f373ae2ce1015d4978,"[[0.09314486845392615, 0.09314486845392646, 0.09314486845392633], [3.2196549551288753, 0.008577930437488248, 0.008577930437488038], [0.008577930437488187, 3.219654955128896, 0.008577930437488035], [0.008577930437488057, 0.008577930437488257, 3.2196549551288913], [3.3310040668761935, 3.3310040668762073, 3.3310040668762024]]",{'xc': 'GGA_X_PBE_SOL+GGA_C_PBE_SOL'},gpaw,7,-14.882781111489173,"[True, True, True]",ivca,21.663154307985963,14.59456237545843,"[0.0, 0.0, 0.0, 0.0, 0.0]"
7,0.871431737659,organometal,CsPbIBr2,cubic,1.90862572273,2.077225399929,Pm-3m,"[[6.409309595372093, 0.0, 0.0], [0.0, 5.870260790724922, 0.0], [0.0, 0.0, 5.870260790724926]]","[82, 53, 35, 35, 55]",d6cffb68b30bc75ad906b21d95d7f8ed,"[[0.34346150295291095, 0.0018845070598618602, 0.0018845070598621709], [3.4633903166126596, 0.020803584364481303, 0.020803584364480713], [-0.040597750797878245, 2.9375207421546286, -0.008166234276546927], [-0.04059775079787764, -0.008166234276547044, 2.937520742154665], [4.080733392032699, 2.9309655942510626, 2.930965594251108]]",{'xc': 'GGA_X_PBE_SOL+GGA_C_PBE_SOL'},gpaw,8,-16.075891227851866,"[True, True, True]",ivca,21.663154308017557,14.594562379497107,"[0.0, 0.0, 0.0, 0.0, 0.0]"
8,0.912159889193,organometal,CsPbICl2,cubic,2.10304158161,2.206652320043,Pm-3m,"[[6.436517236193, 0.0, 0.0], [0.0, 5.62742972866594, 0.0], [0.0, 0.0, 5.627429728665928]]","[82, 53, 17, 17, 55]",1d239d7da9995d6a9c4df7989954661d,"[[0.28609331421727574, -0.13724817571220768, -0.1372481757122082], [3.4333314508735855, -0.17836672713299473, -0.1783667271329951], [-0.05392001091306125, 2.6714213234433806, -0.11849244699194064], [-0.05392001091306383, -0.11849244699194127, 2.6714213234436635], [4.2306760473509595, 2.6757817124222494, 2.6757817124225656]]",{'xc': 'GGA_X_PBE_SOL+GGA_C_PBE_SOL'},gpaw,10,-17.13524333174612,"[True, True, True]",ivca,21.66315430804922,14.59456238439371,"[0.0, 0.0, 0.0, 0.0, 0.0]"
9,0.308301501182,organometal,CsSnBr2Cl,cubic,0.552170506516,0.552170506516,Pm-3m,"[[5.77943541911733, 0.0, 0.0], [0.0, 5.77943541911733, 0.0], [0.0, 0.0, 5.481211990019082]]","[50, 35, 35, 17, 55]",fe0144ea1632a5b611c89aaec83f58f4,"[[1.274854456223567e-29, -3.817257017153807e-18, 4.732382155435923e-18], [2.9069535265225124, 8.719781790542485e-19, 2.919322125710684e-19], [-1.0463738148649844e-19, 2.9069535265225124, 1.371830454488688e-19], [4.168481051093918e-19, 6.476033061566186e-20, 2.735157967953066], [2.9069535265225124, 2.9069535265225124, 2.735157967953066]]",{'xc': 'GGA_X_PBE_SOL+GGA_C_PBE_SOL'},gpaw,11,-17.20879256042498,"[True, True, True]",ivca,21.66315430804922,14.594562386788668,"[0.0, 0.0, 0.0, 0.0, 0.0]"
